t,x0,x1
0,3.2974155450644504,2.7005169102966127
1,7.907840958075948,7.619662269076667
2,8.136558098605898,7.431226653030034
3,6.936226410939383,6.13911286697754
4,8.247878831902504,7.245277870506788
5,9.164038797483482,6.4806475667439765
6,8.666036021794486,5.89346073927743
7,7.315229799437003,3.4513382445720753
8,10.694771620592121,6.526312507286477
9,16.515184886869747,12.031809466133558
10,16.193201965862677,11.311732063485893
11,18.389348675500752,12.294603850291132
12,19.474098521497385,13.20608745523774
13,21.520685212756828,14.29781510628122
14,19.90207306388777,12.096368320038131
15,13.55745815724303,5.28516985686447
16,15.074851613153754,6.155556422073969
17,16.426950597101346,7.475399376824867
18,13.598039787557145,3.6279210187560196
19,16.79632227036417,5.10264248083569
20,16.75190389187618,4.249085239157756
21,20.61897921434068,7.9347581065219135
22,20.31964288245877,8.004116416413481
23,21.937457141382836,8.694297990393371
24,14.256541381841714,0.20731085060991816
25,17.374249381704878,2.6614514668827045
26,26.23081376926804,10.353488267313502
27,26.16578250670316,7.988704484366467
28,22.79513276101169,3.838724364396133
29,20.967321942011743,1.990534112278347
30,23.332511085023917,3.0732502345258705
31,29.9073659838529,8.431396098334545
32,27.523597948744843,5.460326944074914
33,25.388070045133187,0.49418686658470534
34,24.38506687548667,-2.5370237334378563
35,26.515015636426618,-0.6956903825702496
36,28.43275663537833,-0.3427724138072793
37,26.834153991977324,-3.092650390083176
38,29.2124200363767,-2.0720936463986606
39,30.04165798493618,-2.2540975126360925
40,35.666213769299006,1.022477676464197
41,36.069309658367224,1.808299497105508
42,35.02063056530598,-0.6920377098358956
43,39.753628764002,2.617805531604482
44,45.783894760016345,7.663376882827985
45,48.65523766752784,8.746090103566441
46,49.813350980374715,9.060317655728781
47,46.88559152976489,5.920601065064525
48,41.508647654239596,-0.4995044474369754
49,43.65291836820751,1.099834640456119
50,42.97486437747385,-0.139564207438448
51,43.822876442267535,-0.8416326286706703
52,42.61386285478737,-3.0580137428641048
53,39.78913759622983,-7.265023100460388
54,40.73107607681048,-7.412495578145041
55,44.858416637215335,-4.652433982929192
56,48.90731269099855,-1.8035445925625115
57,44.19090617861446,-7.885893123604948
58,42.791872186031334,-12.216530863848053
59,45.88224271386387,-10.363851153569248
60,44.89439204434676,-12.389169066810483
61,41.115741591231654,-17.526689333746248
62,35.23704695731049,-24.768400532789485
63,32.558592015129854,-27.70499123753489
64,32.16843839545804,-29.286840797490292
65,34.49223438333472,-29.461200841247166
66,33.90087859061452,-32.970209472163326
67,35.59711363156463,-31.980165496075696
68,42.838985441507326,-25.87362960776197
69,46.040072846440566,-23.898176156821602
70,53.0682335980682,-17.083421884810193
71,51.41375412537059,-19.5455899164009
72,53.727649432937746,-18.42847655103968
73,50.84363077008708,-22.20862220715127
74,46.22590604542939,-28.281649010833423
75,47.11349328041747,-28.307844449511094
76,42.32711374467112,-35.24202218011902
77,44.39929829106304,-35.76827938659994
